epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9076,3.06441,4.57245,1.9665,0,0,0,0,2.4761,4.78284,2.11161,3.333e-05,3.333e-05,3.333e-05
2,52.7279,2.65929,4.45843,1.78161,0,0,0,0,2.07984,4.66905,1.81911,7.62302e-05,7.62302e-05,7.62302e-05
3,72.8611,2.21729,4.23458,1.547,0.00055,0.02,0.00031,0.00019,1.69329,4.34824,1.39499,0.00011737,0.00011737,0.00011737
4,93.0549,2.0359,4.0876,1.46948,0.0086,0.06426,0.01385,0.00159,1.36672,4.11511,1.08601,0.000156751,0.000156751,0.000156751
5,112.613,1.7122,3.71157,1.20444,0.01614,0.20426,0.02131,0.00589,1.29834,4.08151,1.02635,0.000194372,0.000194372,0.000194372
6,132.177,1.79361,3.58406,1.22632,0.0152,0.38,0.03467,0.01268,1.26778,4.04958,0.97749,0.000230233,0.000230233,0.000230233
7,152.642,1.58686,3.36399,1.16479,0.01659,0.44,0.05191,0.01729,1.1794,4.01031,0.94961,0.000264334,0.000264334,0.000264334
8,171.759,1.53654,3.06285,1.12184,0.01616,0.48426,0.10693,0.04714,1.13841,3.95892,0.93604,0.000296675,0.000296675,0.000296675
9,338.339,1.40626,2.83164,1.05975,0.01803,0.66,0.17063,0.09736,1.19853,3.9177,0.94489,0.000327256,0.000327256,0.000327256
10,362.595,1.46117,2.58328,1.06765,0.02085,0.78,0.22833,0.14478,1.15555,3.88832,0.94161,0.000356078,0.000356078,0.000356078
11,382.103,1.46386,2.37145,1.03222,0.02153,0.8,0.27872,0.17985,1.10697,3.78264,0.92934,0.000383139,0.000383139,0.000383139
12,401.654,1.51814,2.17696,1.09492,0.01909,0.8,0.3631,0.22033,1.09733,3.72457,0.93663,0.000408441,0.000408441,0.000408441
13,421.241,1.37181,1.9114,1.03985,0.01687,0.8,0.49868,0.33447,1.10491,3.6519,0.94803,0.000431983,0.000431983,0.000431983
14,440.799,1.36439,1.73887,1.02684,0.01627,0.8,0.54967,0.39018,1.0771,3.57958,0.95699,0.000453766,0.000453766,0.000453766
15,460.28,1.27205,1.67058,1.00407,0.01569,0.8,0.52511,0.39416,1.14024,3.451,0.97498,0.000473788,0.000473788,0.000473788
16,479.668,1.34807,1.7103,1.01294,0.01621,0.81277,0.54214,0.40637,1.08351,3.36756,0.95873,0.000492051,0.000492051,0.000492051
17,498.686,1.51155,2.10478,1.24926,0.01707,0.82553,0.55693,0.41471,1.04722,3.29841,0.95053,0.000508554,0.000508554,0.000508554
18,517.779,1.2149,1.50891,0.98993,0.0231,0.89787,0.62622,0.46923,1.1499,3.11512,0.9743,0.000523297,0.000523297,0.000523297
19,566.459,1.36765,1.55611,0.97057,0.02592,0.93191,0.67826,0.49977,1.17025,3.00328,0.97492,0.00053628,0.00053628,0.00053628
20,585.253,1.31415,1.50859,0.97676,0.57093,0.66297,0.7053,0.5387,1.06094,2.86552,0.95631,0.000547503,0.000547503,0.000547503
21,597.971,1.22345,1.44531,0.96068,1,0.14765,0.7334,0.53107,1.0918,2.64044,0.93254,0.000556967,0.000556967,0.000556967
22,610.533,1.06758,1.3945,0.92151,0.62479,0.21986,0.71756,0.51821,1.11928,2.53133,0.93168,0.00056467,0.00056467,0.00056467
23,623.474,1.10616,1.3144,0.95498,0.6831,0.30196,0.68591,0.49717,1.13422,2.40946,0.96674,0.000570614,0.000570614,0.000570614
24,636.121,1.26775,1.41442,0.95921,0.67058,0.41895,0.67899,0.49958,1.13691,2.2779,0.98943,0.000574798,0.000574798,0.000574798
25,648.747,1.14189,1.28399,0.92872,0.74937,0.54257,0.74333,0.56439,1.05478,2.12085,0.95356,0.000577222,0.000577222,0.000577222
26,661.093,1.09928,1.32354,0.9701,0.76018,0.67437,0.8716,0.67089,1.06351,1.99149,0.94635,0.000561055,0.000561055,0.000561055
27,673.53,1.05509,1.16807,0.93104,0.83805,0.68734,0.93755,0.70908,1.09496,1.87643,0.93987,0.000539057,0.000539057,0.000539057
28,687.164,1.09437,1.18514,0.89797,0.9302,0.81083,0.95968,0.73923,1.04092,1.79108,0.92544,0.000517059,0.000517059,0.000517059
29,700.633,1.18478,1.22637,0.94849,0.98354,0.8224,0.97141,0.76418,1.09331,1.72473,0.94804,0.000495062,0.000495062,0.000495062
30,713.821,1.15093,1.2628,0.93654,0.98278,0.78634,0.95417,0.72159,1.15274,1.68946,0.97499,0.000473064,0.000473064,0.000473064
31,727.125,1.04981,1.11305,0.93827,0.98118,0.8149,0.96095,0.73613,1.11055,1.57089,0.96397,0.000451066,0.000451066,0.000451066
32,740.155,1.10532,1.22344,0.95047,0.96638,0.9516,0.99046,0.80198,0.98585,1.39645,0.90957,0.000429068,0.000429068,0.000429068
33,752.567,1.0543,1.11415,0.9231,0.9572,0.93195,0.99123,0.81352,0.96881,1.25526,0.90428,0.00040707,0.00040707,0.00040707
34,765.045,1.02438,1.07488,0.94257,0.94023,0.939,0.99176,0.79215,1.0496,1.18806,0.91581,0.000385073,0.000385073,0.000385073
35,777.725,1.03145,1.11105,0.90207,0.92594,0.94787,0.99297,0.76872,1.07953,1.16496,0.91149,0.000363075,0.000363075,0.000363075
36,789.989,1.04328,1.10019,0.9018,0.91238,0.94911,0.99376,0.77609,1.03422,1.14294,0.89916,0.000341077,0.000341077,0.000341077
37,802.587,1.03196,1.04967,0.89632,0.92078,0.95349,0.99383,0.80614,0.93742,1.11086,0.88727,0.000319079,0.000319079,0.000319079
38,814.525,1.04252,1.09471,0.90128,0.95919,0.97615,0.99411,0.82478,0.89341,1.06873,0.88465,0.000297081,0.000297081,0.000297081
39,826.3,0.99481,1.05368,0.94646,0.96946,0.97678,0.99421,0.82278,0.90291,1.03696,0.88175,0.000275084,0.000275084,0.000275084
40,838.266,0.96206,1.01941,0.88393,0.96656,0.97799,0.99445,0.80996,0.95809,1.00426,0.88568,0.000253086,0.000253086,0.000253086
41,850.382,1.00024,1.02308,0.90284,0.98604,0.95549,0.99104,0.802,0.97608,0.97314,0.88865,0.000231088,0.000231088,0.000231088
42,862.042,1.18627,1.3188,0.93604,0.97759,0.95788,0.991,0.80115,0.95424,0.96345,0.88727,0.00020909,0.00020909,0.00020909
43,873.829,0.97949,1.12146,0.88631,0.9661,0.95269,0.99049,0.81,0.91218,0.96931,0.88381,0.000187092,0.000187092,0.000187092
44,885.443,0.91359,0.96517,0.92549,0.97775,0.96855,0.99375,0.83197,0.87383,0.96358,0.88108,0.000165095,0.000165095,0.000165095
45,897.416,1.12029,1.32053,0.92135,0.98334,0.97445,0.99355,0.8327,0.86094,0.94844,0.88074,0.000143097,0.000143097,0.000143097
46,909.674,0.8937,1.13238,0.8782,0.98595,0.97719,0.99341,0.82668,0.85439,0.92913,0.87926,0.000121099,0.000121099,0.000121099
47,922.171,0.9053,1.01015,0.88195,0.98032,0.97347,0.99313,0.82308,0.85003,0.90784,0.87773,9.91012e-05,9.91012e-05,9.91012e-05
48,933.964,0.98611,1.20632,0.92128,0.97448,0.97222,0.99323,0.82946,0.84658,0.87802,0.87646,7.71034e-05,7.71034e-05,7.71034e-05
49,946.206,0.98986,1.07967,0.88295,0.97178,0.97083,0.99347,0.83127,0.84305,0.85534,0.87535,5.51056e-05,5.51056e-05,5.51056e-05
50,958.254,0.995,1.03211,0.89661,0.9691,0.9703,0.99352,0.83247,0.83877,0.83875,0.8746,3.31078e-05,3.31078e-05,3.31078e-05
